Circuit Name,sabre,noise_adaptive,dense,trivial,toqm,satmap,tb-olsq2,Circuit_Size,qmap_heuristic
rd32-v1_68,0,0,7,5,3,0,0,36,3
alu-v2_33,1,3,9,5,7,1,1,37,5
qe_qft_4,0,2,0,6,2,3,0,71,3
4gt13-v1_93,0,5,11,16,12,0,0,68,13
ham3_102,0,0,4,2,3,0,0,20,3
4mod5-v0_18,1,2,11,10,7,2,1,69,10
decod24-v1_41,1,9,12,16,14,1,1,85,23
alu-v1_29,1,2,8,6,5,1,1,37,5
decod24-v0_38,0,0,8,8,6,0,0,51,6
rd32-v0_66,0,0,7,5,3,0,0,34,3
decod24-v2_43,0,0,9,10,6,0,0,52,6
4mod5-v0_19,0,0,5,10,2,0,0,35,1
alu-v1_28,1,3,9,7,6,1,1,37,4
4mod5-v1_24,0,0,8,7,9,0,0,36,4
4mod5-v0_20,0,0,4,5,1,0,0,20,1
4gt13_92,0,5,12,14,12,0,0,66,18
miller_11,0,0,4,6,9,0,0,50,9
alu-bdd_288,4,6,15,14,15,7,2,84,13
4gt11_83,0,1,7,8,2,0,0,23,4
alu-v0_27,1,2,9,6,5,1,1,36,4
4mod5-v1_22,0,0,7,6,1,0,0,21,3
3_17_13,0,0,4,6,6,0,0,36,6
4gt5_75,2,6,15,19,17,2,2,83,7
ex-1_166,0,0,4,2,3,0,0,19,3
graycode6_47,0,0,6,4,0,0,0,5,0
4gt11_82,1,1,6,6,3,1,1,27,4
alu-v3_35,1,1,8,10,5,1,1,37,3
ex1_226,0,0,6,5,1,0,0,7,1
mod5mils_65,0,0,4,5,3,0,0,35,0
4gt11_84,0,0,4,4,3,0,0,18,3
ising_model_10,0,2,15,7,7,0,0,480,30
xor5_254,0,0,6,4,1,0,0,7,1
alu-v4_37,0,2,8,10,5,1,1,37,4
4mod5-v1_23,1,4,11,14,9,4,1,69,10
alu-v3_34,1,4,10,5,6,1,1,52,6
4mod5-bdd_287,1,5,10,10,6,2,1,70,10
