Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
ContainsInstruction,Analysis,0.01,501,21591,8933,10148,150
UnitarySynthesis,Transformation,16.57,501,21591,8933,10148,150
HighLevelSynthesis,Transformation,23.63,501,21591,8933,10148,150
Unroll3qOrMore,Transformation,1840.51,4893,61822,34288,27534,150
RemoveResetInZeroState,Transformation,17.13,4893,61822,34288,27534,150
OptimizeSwapBeforeMeasure,Transformation,33.64,4893,61822,34288,27534,150
RemoveDiagonalGatesBeforeMeasure,Transformation,33.21,4893,61809,34277,27532,150
SetLayout,Analysis,0.01,4893,61809,34277,27532,150
BarrierBeforeFinalMeasurements,Transformation,167.01,4894,61810,34277,27532,150
DenseLayout,Analysis,25.19,4894,61810,34277,27532,150
FullAncillaAllocation,Analysis,1.84,4894,61810,34277,27532,150
EnlargeWithAncilla,Transformation,1.87,4894,61810,34277,27532,202
ApplyLayout,Transformation,424.18,4894,61810,34277,27532,202
CheckMap,Analysis,13.17,4894,61810,34277,27532,202
BarrierBeforeFinalMeasurements,Transformation,630.78,4894,61810,34277,27532,202
SabreSwap,Transformation,3917.53,27992,153617,34277,119339,202
UnitarySynthesis,Transformation,92.98,27992,153617,34277,119339,202
HighLevelSynthesis,Transformation,148.92,27992,153617,34277,119339,202
UnrollCustomDefinitions,Transformation,442.03,27992,153617,34277,119339,202
BasisTranslator,Transformation,11701.09,78640,482407,167880,314526,202
RemoveResetInZeroState,Transformation,133.11,78640,482407,167880,314526,202
Depth,Analysis,322.05,78640,482407,167880,314526,202
Size,Analysis,133.63,78640,482407,167880,314526,202
MinimumPoint,Transformation,0.02,78640,482407,167880,314526,202
Collect2qBlocks,Analysis,669.75,78640,482407,167880,314526,202
ConsolidateBlocks,Transformation,89770.13,68717,420662,121367,299294,202
UnitarySynthesis,Transformation,207953.67,78005,498922,193362,305559,202
Optimize1qGatesDecomposition,Transformation,6344.06,69688,444781,139221,305559,202
CommutationAnalysis,Analysis,20471.56,69688,444781,139221,305559,202
CommutativeCancellation,Transformation,2370.93,68832,439490,133976,305513,202
GatesInBasis,Analysis,998.33,68832,439490,133976,305513,202
Depth,Analysis,321.14,68832,439490,133976,305513,202
Size,Analysis,134.29,68832,439490,133976,305513,202
MinimumPoint,Transformation,15219.89,68832,439490,133976,305513,202
Collect2qBlocks,Analysis,660.67,68832,439490,133976,305513,202
ConsolidateBlocks,Transformation,90707.29,68832,439355,133920,305434,202
UnitarySynthesis,Transformation,688.08,68832,439445,134007,305437,202
Optimize1qGatesDecomposition,Transformation,3910.27,68829,439407,133969,305437,202
CommutationAnalysis,Analysis,11557.29,68829,439407,133969,305437,202
CommutativeCancellation,Transformation,2939.31,68829,439403,133965,305437,202
GatesInBasis,Analysis,998.11,68829,439403,133965,305437,202
Depth,Analysis,326.02,68829,439403,133965,305437,202
Size,Analysis,136.14,68829,439403,133965,305437,202
MinimumPoint,Transformation,15330.67,68829,439403,133965,305437,202
Collect2qBlocks,Analysis,675.27,68829,439403,133965,305437,202
ConsolidateBlocks,Transformation,88441.29,68829,439373,133951,305421,202
UnitarySynthesis,Transformation,422.26,68829,439391,133967,305423,202
Optimize1qGatesDecomposition,Transformation,3946.07,68829,439391,133967,305423,202
CommutationAnalysis,Analysis,11194.35,68829,439391,133967,305423,202
CommutativeCancellation,Transformation,1603.22,68829,439391,133967,305423,202
GatesInBasis,Analysis,969.21,68829,439391,133967,305423,202
Depth,Analysis,307.5,68829,439391,133967,305423,202
Size,Analysis,131.84,68829,439391,133967,305423,202
MinimumPoint,Transformation,14375.33,68829,439391,133967,305423,202
Collect2qBlocks,Analysis,665.55,68829,439391,133967,305423,202
ConsolidateBlocks,Transformation,86063.2,68829,439391,133967,305423,202
UnitarySynthesis,Transformation,383.69,68829,439391,133967,305423,202
Optimize1qGatesDecomposition,Transformation,3922.02,68829,439391,133967,305423,202
CommutationAnalysis,Analysis,12418.27,68829,439391,133967,305423,202
CommutativeCancellation,Transformation,1585.94,68829,439391,133967,305423,202
GatesInBasis,Analysis,992.45,68829,439391,133967,305423,202
Depth,Analysis,315.37,68829,439391,133967,305423,202
Size,Analysis,135.29,68829,439391,133967,305423,202
MinimumPoint,Transformation,0.01,68829,439391,133967,305423,202
ContainsInstruction,Analysis,135.72,68829,439391,133967,305423,202
InstructionDurationCheck,Analysis,137.4,68829,439391,133967,305423,202
ValidatePulseGates,Analysis,0.01,68829,439391,133967,305423,202
