Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
ContainsInstruction,Analysis,0.02,501,14547,6190,6754,100
UnitarySynthesis,Transformation,13.49,501,14547,6190,6754,100
HighLevelSynthesis,Transformation,15.21,501,14547,6190,6754,100
Unroll3qOrMore,Transformation,1706.67,4756,40576,22546,18030,100
RemoveResetInZeroState,Transformation,10.88,4756,40576,22546,18030,100
OptimizeSwapBeforeMeasure,Transformation,21.29,4756,40576,22546,18030,100
RemoveDiagonalGatesBeforeMeasure,Transformation,20.64,4756,40569,22543,18026,100
SetLayout,Analysis,0.01,4756,40569,22543,18026,100
BarrierBeforeFinalMeasurements,Transformation,108.07,4757,40570,22543,18026,100
NoiseAdaptiveLayout,Analysis,347.69,4757,40570,22543,18026,100
FullAncillaAllocation,Analysis,1.95,4757,40570,22543,18026,100
EnlargeWithAncilla,Transformation,1.42,4757,40570,22543,18026,177
ApplyLayout,Transformation,284.59,4757,40570,22543,18026,177
CheckMap,Analysis,8.63,4757,40570,22543,18026,177
BarrierBeforeFinalMeasurements,Transformation,436.94,4757,40570,22543,18026,177
SabreSwap,Transformation,2147.36,19531,86920,22543,64376,177
UnitarySynthesis,Transformation,63.18,19531,86920,22543,64376,177
HighLevelSynthesis,Transformation,93.82,19531,86920,22543,64376,177
UnrollCustomDefinitions,Transformation,257.65,19531,86920,22543,64376,177
BasisTranslator,Transformation,7409.03,54955,276637,111755,164881,177
RemoveResetInZeroState,Transformation,75.58,54955,276637,111755,164881,177
Depth,Analysis,182.87,54955,276637,111755,164881,177
Size,Analysis,75.87,54955,276637,111755,164881,177
MinimumPoint,Transformation,0.01,54955,276637,111755,164881,177
Collect2qBlocks,Analysis,407.66,54955,276637,111755,164881,177
ConsolidateBlocks,Transformation,49919.0,47045,234418,79463,154954,177
UnitarySynthesis,Transformation,128682.39,54042,286004,126892,159111,177
Optimize1qGatesDecomposition,Transformation,4436.77,47003,249949,90837,159111,177
CommutationAnalysis,Analysis,13662.1,47003,249949,90837,159111,177
CommutativeCancellation,Transformation,1895.27,46413,246574,87480,159093,177
GatesInBasis,Analysis,554.88,46413,246574,87480,159093,177
Depth,Analysis,182.66,46413,246574,87480,159093,177
Size,Analysis,75.72,46413,246574,87480,159093,177
MinimumPoint,Transformation,8057.78,46413,246574,87480,159093,177
Collect2qBlocks,Analysis,407.35,46413,246574,87480,159093,177
ConsolidateBlocks,Transformation,47658.27,46413,246506,87455,159050,177
UnitarySynthesis,Transformation,468.06,46415,246571,87515,159055,177
Optimize1qGatesDecomposition,Transformation,2524.4,46411,246548,87492,159055,177
CommutationAnalysis,Analysis,6822.52,46411,246548,87492,159055,177
CommutativeCancellation,Transformation,925.83,46411,246548,87492,159055,177
GatesInBasis,Analysis,579.58,46411,246548,87492,159055,177
Depth,Analysis,208.86,46411,246548,87492,159055,177
Size,Analysis,83.29,46411,246548,87492,159055,177
MinimumPoint,Transformation,10878.14,46411,246548,87492,159055,177
Collect2qBlocks,Analysis,407.88,46411,246548,87492,159055,177
ConsolidateBlocks,Transformation,47945.34,46411,246537,87485,159051,177
UnitarySynthesis,Transformation,283.11,46411,246555,87501,159053,177
Optimize1qGatesDecomposition,Transformation,2518.02,46411,246553,87499,159053,177
CommutationAnalysis,Analysis,7159.02,46411,246553,87499,159053,177
CommutativeCancellation,Transformation,878.01,46411,246553,87499,159053,177
GatesInBasis,Analysis,565.26,46411,246553,87499,159053,177
Depth,Analysis,187.79,46411,246553,87499,159053,177
