Pass Number,Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
1,ContainsInstruction,Analysis,0.01,501,21541,8816,10231,150
2,UnitarySynthesis,Transformation,16.04,501,21541,8816,10231,150
3,HighLevelSynthesis,Transformation,22.44,501,21541,8816,10231,150
4,Unroll3qOrMore,Transformation,1824.6,4919,61895,34203,27692,150
5,RemoveResetInZeroState,Transformation,16.23,4919,61895,34203,27692,150
6,OptimizeSwapBeforeMeasure,Transformation,34.59,4919,61894,34203,27691,150
7,RemoveDiagonalGatesBeforeMeasure,Transformation,30.93,4919,61880,34196,27684,150
8,SetLayout,Analysis,0.01,4919,61880,34196,27684,150
9,VF2Layout,Analysis,143.21,4919,61880,34196,27684,150
10,BarrierBeforeFinalMeasurements,Transformation,160.27,4920,61881,34196,27684,150
11,SabreLayout,Transformation,133788.63,27886,151772,34196,117575,202
12,CheckMap,Analysis,199.51,27886,151772,34196,117575,202
13,VF2PostLayout,Analysis,300.81,27886,151772,34196,117575,202
14,UnitarySynthesis,Transformation,86.27,27886,151772,34196,117575,202
15,HighLevelSynthesis,Transformation,139.56,27886,151772,34196,117575,202
16,UnrollCustomDefinitions,Transformation,423.7,27886,151772,34196,117575,202
17,BasisTranslator,Transformation,12199.62,78514,477321,168120,309200,202
18,RemoveResetInZeroState,Transformation,129.35,78514,477321,168120,309200,202
19,Depth,Analysis,308.95,78514,477321,168120,309200,202
20,Size,Analysis,126.66,78514,477321,168120,309200,202
21,MinimumPoint,Transformation,0.02,78514,477321,168120,309200,202
22,Collect2qBlocks,Analysis,652.07,78514,477321,168120,309200,202
23,ConsolidateBlocks,Transformation,86698.1,68444,416225,122039,294185,202
24,UnitarySynthesis,Transformation,184348.69,77514,493343,192965,300377,202
25,Optimize1qGatesDecomposition,Transformation,5956.67,68859,439450,139072,300377,202
26,CommutationAnalysis,Analysis,21206.35,68859,439450,139072,300377,202
27,CommutativeCancellation,Transformation,2162.1,68102,434172,133894,300277,202
28,GatesInBasis,Analysis,972.27,68102,434172,133894,300277,202
29,Depth,Analysis,300.96,68102,434172,133894,300277,202
30,Size,Analysis,128.58,68102,434172,133894,300277,202
31,MinimumPoint,Transformation,14767.84,68102,434172,133894,300277,202
32,Collect2qBlocks,Analysis,643.42,68102,434172,133894,300277,202
33,ConsolidateBlocks,Transformation,84528.28,68093,434051,133857,300193,202
34,UnitarySynthesis,Transformation,750.45,68093,434153,133955,300197,202
35,Optimize1qGatesDecomposition,Transformation,3823.54,68090,434130,133932,300197,202
36,CommutationAnalysis,Analysis,12468.59,68090,434130,133932,300197,202
37,CommutativeCancellation,Transformation,1527.77,68090,434126,133928,300197,202
38,GatesInBasis,Analysis,1001.91,68090,434126,133928,300197,202
39,Depth,Analysis,304.68,68090,434126,133928,300197,202
40,Size,Analysis,130.66,68090,434126,133928,300197,202
41,MinimumPoint,Transformation,14248.37,68090,434126,133928,300197,202
42,Collect2qBlocks,Analysis,642.55,68090,434126,133928,300197,202
43,ConsolidateBlocks,Transformation,84365.97,68090,434120,133928,300191,202
44,UnitarySynthesis,Transformation,372.91,68090,434120,133928,300191,202
45,Optimize1qGatesDecomposition,Transformation,4889.89,68090,434120,133928,300191,202
46,CommutationAnalysis,Analysis,10682.51,68090,434120,133928,300191,202
47,CommutativeCancellation,Transformation,3039.53,68090,434120,133928,300191,202
48,GatesInBasis,Analysis,979.32,68090,434120,133928,300191,202
49,Depth,Analysis,305.27,68090,434120,133928,300191,202
50,Size,Analysis,131.8,68090,434120,133928,300191,202
51,MinimumPoint,Transformation,15597.6,68090,434120,133928,300191,202
52,Collect2qBlocks,Analysis,650.07,68090,434120,133928,300191,202
53,ConsolidateBlocks,Transformation,84423.43,68090,434114,133928,300185,202
54,UnitarySynthesis,Transformation,374.25,68090,434114,133928,300185,202
55,Optimize1qGatesDecomposition,Transformation,4889.53,68090,434114,133928,300185,202
56,CommutationAnalysis,Analysis,10651.89,68090,434114,133928,300185,202
57,CommutativeCancellation,Transformation,3035.43,68090,434114,133928,300185,202
58,GatesInBasis,Analysis,978.43,68090,434114,133928,300185,202
59,Depth,Analysis,306.15,68090,434114,133928,300185,202
60,Size,Analysis,130.01,68090,434114,133928,300185,202
61,MinimumPoint,Transformation,15556.09,68090,434114,133928,300185,202
62,Collect2qBlocks,Analysis,646.65,68090,434114,133928,300185,202
63,ConsolidateBlocks,Transformation,84454.5,68090,434114,133928,300185,202
64,UnitarySynthesis,Transformation,373.8,68090,434114,133928,300185,202
65,Optimize1qGatesDecomposition,Transformation,3811.53,68090,434114,133928,300185,202
66,CommutationAnalysis,Analysis,12003.6,68090,434114,133928,300185,202
67,CommutativeCancellation,Transformation,1524.2,68090,434114,133928,300185,202
68,GatesInBasis,Analysis,972.49,68090,434114,133928,300185,202
69,Depth,Analysis,304.94,68090,434114,133928,300185,202
70,Size,Analysis,129.46,68090,434114,133928,300185,202
71,MinimumPoint,Transformation,0.01,68090,434114,133928,300185,202
72,ContainsInstruction,Analysis,128.98,68090,434114,133928,300185,202
73,InstructionDurationCheck,Analysis,129.22,68090,434114,133928,300185,202
74,ValidatePulseGates,Analysis,0.01,68090,434114,133928,300185,202
