backend,Num_Qubits,runtime,swap_gates
FakeWashingtonV2,4,10.706584215164185,279
FakeTokyo,4,1.6292462348937988,12
FakeKolkata,4,4.453575372695923,270
FakeWashingtonV2,8,25.81319522857666,1441
FakeTokyo,8,4.925164222717285,686
FakeKolkata,8,13.431439876556396,1494
FakeWashingtonV2,12,45.45942950248718,3169
FakeTokyo,12,10.932848691940308,1375
FakeKolkata,12,20.92768168449402,3215
FakeWashingtonV2,16,77.61271095275879,5372
FakeTokyo,16,18.59217619895935,2528
FakeKolkata,16,28.60790467262268,5553
FakeWashingtonV2,20,69.14341378211975,8822
FakeTokyo,20,19.30205988883972,3753
FakeKolkata,20,37.09179878234863,8791
